Reg_com,dep_com,siren,insee,nom_com,ptot_2024,pmun_2024,pcap_2024
53,35,213500010,35001,Acigné,7 051,6 888,163
53,35,213500226,35022,Bécherel,706,690,16
53,35,213500242,35024,Betton,12 959,12 695,264
53,35,213500325,35032,Bourgbarré,4 646,4 580,66
53,35,213500390,35039,Brécé,2 191,2 147,44
53,35,213500473,35047,Bruz,20 118,19 651,467
53,35,213500515,35051,Cesson-Sévigné,18 212,17 716,496
53,35,213500556,35055,Chantepie,10 391,10 232,159
53,35,213500580,35058,La Chapelle-Chaussée,1 323,1 300,23
53,35,213500598,35059,La Chapelle-des-Fougeretz,4 696,4 604,92
53,35,213500655,35065,La Chapelle-Thouarault,2 294,2 252,42
53,35,213500663,35066,Chartres-de-Bretagne,8 377,8 237,140
53,35,213500762,35076,Chavagne,4 476,4 415,61
53,35,213500796,35079,Chevaigné,2 414,2 365,49
53,35,213500804,35080,Cintré,2 600,2 533,67
53,35,213500812,35081,Clayes,969,937,32
53,35,213500887,35088,Corps-Nuds,3 621,3 543,78
53,35,213501208,35120,Gévezé,6 000,5 890,110
53,35,213501315,35131,L'Hermitage,4 767,4 692,75
53,35,213501323,35132,Hirel,1 415,1 386,29
53,35,213501356,35135,Irodouër,2 318,2 284,34
53,35,213501364,35136,Janzé,8 744,8 570,174
53,35,213501398,35139,Laillé,5 276,5 131,145
53,35,213501448,35144,Langan,1 094,1 075,19
53,35,213501505,35150,Lécousse,3 423,3 322,101
53,35,213501604,35160,Loutehel,245,240,5
53,35,213501703,35170,Mecé,621,608,13
53,35,213501802,35180,Miniac-sous-Bécherel,812,796,16
53,35,213501893,35189,Montgermont,3 760,3 692,68
53,35,213501901,35190,Monthault,254,246,8
53,35,213501968,35196,Mordelles,7 783,7 658,125
53,35,213502008,35200,Moutiers,936,910,26
53,35,213502040,35204,Nouvoitou,3 613,3 554,59
53,35,213503642,35206,Noyal-Châtillon-sur-Seiche,7 713,7 631,82
53,35,213502081,35208,Orgères,5 535,5 471,64
53,35,213502107,35210,Pacé,12 257,11 918,339
53,35,213502164,35216,Parthenay-de-Bretagne,1 819,1 793,26
53,35,213502305,35230,Poilley,371,367,4
53,35,213502354,35235,Rannée,1 104,1 061,43
53,35,213502388,35238,Rennes,229 178,225 081,4 097
53,35,213502404,35240,Le Rheu,9 771,9 535,236
53,35,213502453,35245,Romillé,4 196,4 119,77
53,35,213502503,35250,Saint-Armel,2 312,2 271,41
53,35,213502669,35266,Saint-Erblon,3 542,3 466,76
53,35,213502750,35275,Saint-Gilles,5 473,5 402,71
53,35,213502784,35278,Saint-Grégoire,10 206,9 837,369
53,35,213502818,35281,Saint-Jacques-de-la-Lande,13 782,13 656,126
53,35,213503105,35310,Saint-Sauveur-des-Landes,1 577,1 551,26
53,35,213503154,35315,Saint-Sulpice-la-Forêt,1 539,1 499,40
53,35,213503345,35334,Thorigné-Fouillard,8 782,8 582,200
53,35,213503519,35351,Le Verger,1 445,1 419,26
53,35,213503527,35352,Vern-sur-Seiche,8 384,8 233,151
53,35,213503535,35353,Vezin-le-Coquet,6 411,6 337,74
53,35,213503634,35363,Pont-Péan,4 442,4 335,107
